video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=GTRQsa3jpXU&pp=ygUQdHJhdmVsIEF1c3RyYWxpYQ%3D%3D,/@MiskTravelGuide,Misk Travel Guide,Australia The Ultimate Travel Guide | Best Places to Visit | Top Attractions,2.1M,7 years,"Australia is a wild and beautiful place, a land whose color palette of red outback sands and Technicolor reefs frames sophisticated ...",2026-01-17 02:32:04.778261
/watch?v=vW1ei0CyACk&pp=ygUQdHJhdmVsIEF1c3RyYWxpYQ%3D%3D,/@TopTravel_YT,Top Travel,Wonders of Australia | The Most Amazing Places in Australia | Travel Video 4K,2.5M,1 year,"In today's video, we're embarking on an epic journey through the incredible land Down Under – Australia. From the bustling ...",2026-01-17 02:32:04.780170
/watch?v=jSvYYooAiMU&pp=ygUQdHJhdmVsIEF1c3RyYWxpYQ%3D%3D,/@tripinsight.travel,Trip Insight,Wonders of Australia | Must see tourist attractions in Western Australia | Travel Video 4K,13K,9 months,"Wonders of Australia | Must see tourist attractions in Western Australia | Travel Video 4K Subscribe to the channel here, it's free ...",2026-01-17 02:32:04.784599
/watch?v=gd6eliMgE6o&pp=ygUQdHJhdmVsIEF1c3RyYWxpYQ%3D%3D,/@ExoticVacation,Exotic Vacation,How to Spend 5 Days in SYDNEY Australia | Travel Itinerary,399K,1 year,"Get ready to dive into the vibrant energy of Sydney, Australia! We're thrilled to bring you the ultimate guide to making the most out ...",2026-01-17 02:32:04.786590
/shorts/FCgHyZmN60s,/@BuildingBeautifully,Building Beautifully,Geez the road distances in Australia are wild,446K,5 months,... in Australia but we can easily go higher than that for example on the air highway at Kuribbe in far western and south Australia ...,2026-01-17 02:32:04.788000
/watch?v=M-914uAcwy8&pp=ygUQdHJhdmVsIEF1c3RyYWxpYQ%3D%3D,/@PathfindersTravel-YT,Pathfinders Travel,Wonders of Australia | The Most Amazing Places in Australia | Travel Documentary 4K,821K,11 months,Wonders of Australia | Most Amazing Places in Australia | Travel Documentary 4K Hit that subscribe button—it's completely free ...,2026-01-17 02:32:04.789992
/watch?v=CB1Oj7I3aEI&pp=ygUQdHJhdmVsIEF1c3RyYWxpYQ%3D%3D,/@cjexplores,CJ Explores,AUSTRALIA TRAVEL GUIDE 2025 - Everything You Need To Know Before You Go! 🇦🇺,20K,1 year,Australia Travel Guide | This is your essential NEED TO KNOW travel guide to Australia for the best tips and advice on planning ...,2026-01-17 02:32:04.791957
/watch?v=BUrmKVuKfno&pp=ygUQdHJhdmVsIEF1c3RyYWxpYQ%3D%3D,/@LifestyleHal,Lifestyle Hal,18 Most Beautiful Places to Visit in Australia 🇦🇺 | Australia Travel Guide,573K,2 years,18 Most Beautiful Places to Visit in Australia 4k. Some of the best places to visit in Australia are right here in this Australia travel ...,2026-01-17 02:32:04.793956
/watch?v=xltecjj3g6c&pp=ygUQdHJhdmVsIEF1c3RyYWxpYQ%3D%3D,/@worldwildhearts,World Wild Hearts,"SYDNEY, AUSTRALIA (2026) | 15 Best Things To Do In & Around Sydney (+ Travel Tips)",114K,4 months,"SYDNEY ACTIVITIES, EXPERIENCES & LINKS: ☑️ Sydney Harbour Cruise: ...",2026-01-17 02:32:12.537909
/shorts/NhoIu9j5iy8,/@TheJordanaGrace,That British Girl: Jordana Grace,3 things NOT to do in #australia #tips #travel #advice #dontdoit,2M,2 years,3 things NOT to do in #australia #tips #travel #advice #dontdoit.,2026-01-17 02:32:12.539183
/shorts/4tNBypkrABs,/@brideydrake,Bridey Drake,#travel #australian #shortvideo #minivlog,3M,2 years,... were in Singapore at the moment and this is like I think our fifth day of traveling and we were so tired so we took it out we literally ...,2026-01-17 02:32:12.542244
/watch?v=oOJvRrNhKFA&pp=ygUQdHJhdmVsIEF1c3RyYWxpYQ%3D%3D,/@KristiTravelEscape,Kristi Travel Escape,How to Travel Australia in 17 Days - The Best of the East Coast & the Outback (Epic Itinerary),15K,6 months,"Welcome to Australia! In this video, you'll discover the ultimate 17-day itinerary showcasing the very best of the East Coast ...",2026-01-17 02:32:12.546030
/shorts/0EaFad4TURE,/@michaeldrake21,Michael Drake,Australia is the place to be✌️🇦🇺🏝️￼,45M,7 months,This is why Australia is the best country to live in in 2025 firstly we have a different sun here our sun's twice as hot which allows us ...,2026-01-17 02:32:12.547252
/watch?v=OrIDTJH2ZZM&pp=ygUQdHJhdmVsIEF1c3RyYWxpYdIHCQlPCgGHKiGM7w%3D%3D,/@Expedia,Expedia,SYDNEY VACATION TRAVEL GUIDE | Expedia,3.1M,12 years,Sydney – a glistening harbour city surrounded by beaches and impressive architecture. Join us as we uncover some of the best ...,2026-01-17 02:32:12.551981
/watch?v=KDRt1WHK-JI&pp=ygUQdHJhdmVsIEF1c3RyYWxpYQ%3D%3D,/@ExoticVacation,Exotic Vacation,How to Spend 4 Days in MELBOURNE Australia |Travel Guide & Tips!,124K,11 months,"In this video, I'm sharing my perfect 4-day itinerary for Melbourne, Australia—complete with all the must-see landmarks, hidden ...",2026-01-17 02:32:12.553825
/watch?v=FTauxivt22o&pp=ygUQdHJhdmVsIEF1c3RyYWxpYQ%3D%3D,/@Joel_Emilia,Joel and Emilia,East Coast Australia Travel Guide,109K,4 years,"A travel guide to the East Coast Australia, specifically for backpacking and traveling Australia as a traveler, or a gap year.",2026-01-17 02:32:12.558120
/shorts/Ow8ap3jZuF8,/@SUNNYESCAPES1,SUNNY ESCAPES,10 Breathtaking Places in Australia You MUST See! 🇦🇺✨ #travel  #explore  #nature   #australia,96K,11 months,Most Beautiful Places in Australia 1-Great Barrier Reef 2-Sydney Opera House & Harbour Bridge 3-Uluru - Ayers Rock ...,2026-01-17 02:32:12.560474
/watch?v=WQGe6a3bWlI&pp=ygUQdHJhdmVsIEF1c3RyYWxpYQ%3D%3D,/@macerly,Maddie Borge,"I traveled alone to AUSTRALIA 🦘✨ (exploring Sydney, Byron, Noosa & Airlie Beach)",194K,9 months,Let's spend 2 weeks traveling the East Coast of Australia - all the way from Sydney in the South to Airlie Beach in the North!,2026-01-17 02:32:12.562706
/shorts/Bntk_ZDheWI,/@MyCurlyAdventures,My Curly Adventures,🚂 Unique Steam Train Experience in Australia 🇦🇺 #travel #travelaustralia,1.5K,1 year,"Unique Steam Train Experience in Australia One of the coolest things we did in Melbourne was the Puffing Billy Railway, ...",2026-01-17 02:32:12.563945
/shorts/tVSz6Qumsjc,/@jackstravelling,Jack’s Travelling,Weird Australian Food 🇦🇺#australia #sydney #travel #food #foodie #travel #culture #holiday #fyp,95K,10 months,Okay I'm back in an Australian supermarket and last time there was no eggs anywhere which was strange but this time I've seen ...,2026-01-17 02:32:20.930584
/watch?v=TlUjcX62rlM&pp=ygUQdHJhdmVsIEF1c3RyYWxpYQ%3D%3D,/@JoyousTravelYT,Joyous Travel,Amazing Places to Visit in Australia - Travel Video,879K,4 years,"Natural wonders, dazzling beaches, plenty of wildlife, modern and cosmopolitan metropolises, and excellent weather are some of ...",2026-01-17 02:32:20.935270
/shorts/nNwKATvPqfw,/@CampsAustraliaWideOfficial,Camps Australia Wide,How to travel Australia without blowing the budget! ⛺️🚐 #camping #australia,10K,1 year,Want to travel Australia without blowing the budget? Then you've gotta download the FREE Camps Australia Wide App! Over the ...,2026-01-17 02:32:20.936475
/shorts/fEd-A_3qt3s,/@TheTravelGuardian,The Travel Guardian,Melbourne Australia | 3 Days Itinerary | Things to do in Melbourne | Melbourne Travel Guide,80K,6 months,Melbourne Australia | 3 Days Itinerary | Things to do in Melbourne | Melbourne Travel Guide | Best Places to Visit Welcome to The ...,2026-01-17 02:32:20.938806
